ins_id,time,open_px,high_px,low_px,last_px,trade_qty,trade_mv,hold_qty,last_time
SHFE.CU2207,2022-05-31 21:00:00.000,71970,72000,71940,71960,1660,597332000,140372,2022-05-31 21:00:59.500
SHFE.CU2207,2022-05-31 21:01:00.000,71950,71980,71920,71970,831,298961250,140254,2022-05-31 21:01:59.500
SHFE.CU2207,2022-05-31 21:02:00.000,71980,71980,71930,71940,355,127703500,140208,2022-05-31 21:02:59.500
SHFE.CU2207,2022-05-31 21:03:00.000,71940,71940,71900,71910,535,192378300,140225,2022-05-31 21:03:59.500
SHFE.CU2207,2022-05-31 21:04:00.000,71910,71920,71820,71860,970,348575650,140056,2022-05-31 21:04:59.500
SHFE.CU2207,2022-05-31 21:05:00.000,71850,71860,71830,71850,371,133275650,140014,2022-05-31 21:05:59.500
SHFE.CU2207,2022-05-31 21:06:00.000,71860,71870,71830,71850,405,145495700,140046,2022-05-31 21:06:59.500
SHFE.CU2207,2022-05-31 21:07:00.000,71850,71860,71830,71850,361,129690900,140012,2022-05-31 21:07:58.500
SHFE.CU2207,2022-05-31 21:08:00.000,71850,71900,71850,71900,329,118232000,140079,2022-05-31 21:08:59.500
SHFE.CU2207,2022-05-31 21:09:00.000,71890,71900,71880,71890,111,39899050,140082,2022-05-31 21:09:58.500
SHFE.CU2207,2022-05-31 21:10:00.000,71880,71890,71860,71890,268,96314100,140084,2022-05-31 21:10:58.500
SHFE.CU2207,2022-05-31 21:11:00.000,71870,71890,71860,71860,126,45277500,140082,2022-05-31 21:11:59.000
SHFE.CU2207,2022-05-31 21:12:00.000,71860,71870,71850,71860,117,42038650,140074,2022-05-31 21:12:57.500
SHFE.CU2207,2022-05-31 21:13:00.000,71870,71890,71860,71880,143,51393650,140046,2022-05-31 21:13:58.500
SHFE.CU2207,2022-05-31 21:14:00.000,71870,71890,71860,71880,106,38091800,140050,2022-05-31 21:14:59.500
SHFE.CU2207,2022-05-31 21:15:00.000,71870,71890,71870,71870,122,43843700,140039,2022-05-31 21:15:59.500
SHFE.CU2207,2022-05-31 21:16:00.000,71870,71900,71860,71890,96,34505400,140028,2022-05-31 21:16:59.500
SHFE.CU2207,2022-05-31 21:17:00.000,71890,71900,71870,71880,106,38098800,140012,2022-05-31 21:17:59.500
SHFE.CU2207,2022-05-31 21:18:00.000,71890,71900,71880,71890,86,30912550,140003,2022-05-31 21:18:59.500
SHFE.CU2207,2022-05-31 21:19:00.000,71900,71900,71880,71890,194,69738550,140013,2022-05-31 21:19:58.500
SHFE.CU2207,2022-05-31 21:20:00.000,71890,71890,71860,71870,169,60733900,139953,2022-05-31 21:20:59.500
SHFE.CU2207,2022-05-31 21:21:00.000,71870,71910,71860,71910,136,48879400,139928,2022-05-31 21:21:59.500
SHFE.CU2207,2022-05-31 21:22:00.000,71900,71900,71880,71880,64,23005300,139926,2022-05-31 21:22:56.500
SHFE.CU2207,2022-05-31 21:23:00.000,71890,71910,71880,71910,73,26241600,139910,2022-05-31 21:23:57.500
SHFE.CU2207,2022-05-31 21:24:00.000,71910,71910,71900,71900,56,20133750,139903,2022-05-31 21:24:59.500
SHFE.CU2207,2022-05-31 21:25:00.000,71900,71940,71900,71940,175,62933600,139917,2022-05-31 21:25:59.500
SHFE.CU2207,2022-05-31 21:26:00.000,71930,71940,71920,71930,77,27693100,139943,2022-05-31 21:26:58.500
SHFE.CU2207,2022-05-31 21:27:00.000,71920,71970,71920,71960,138,49646700,139951,2022-05-31 21:27:57.500
SHFE.CU2207,2022-05-31 21:28:00.000,71970,71980,71950,71980,89,32025050,139947,2022-05-31 21:28:59.500
SHFE.CU2207,2022-05-31 21:29:00.000,71980,72000,71970,71990,246,88544850,139904,2022-05-31 21:29:59.500
SHFE.CU2207,2022-05-31 21:30:00.000,71990,72000,71980,71990,129,46434450,139888,2022-05-31 21:30:59.500
SHFE.CU2207,2022-05-31 21:31:00.000,71990,72000,71970,71970,78,28074250,139914,2022-05-31 21:31:59.000
SHFE.CU2207,2022-05-31 21:32:00.000,71970,71980,71940,71950,101,36337300,139882,2022-05-31 21:32:59.500
SHFE.CU2207,2022-05-31 21:33:00.000,71950,71970,71930,71940,186,66917950,139886,2022-05-31 21:33:58.000
SHFE.CU2207,2022-05-31 21:34:00.000,71930,71950,71900,71910,176,63292300,139920,2022-05-31 21:34:59.500
SHFE.CU2207,2022-05-31 21:35:00.000,71910,71930,71900,71910,91,32721550,139927,2022-05-31 21:35:58.500
SHFE.CU2207,2022-05-31 21:36:00.000,71910,71920,71890,71910,161,57882300,139878,2022-05-31 21:36:59.500
SHFE.CU2207,2022-05-31 21:37:00.000,71910,71910,71900,71910,62,22291750,139879,2022-05-31 21:37:59.000
SHFE.CU2207,2022-05-31 21:38:00.000,71910,71910,71890,71900,83,29838800,139890,2022-05-31 21:38:59.000
SHFE.CU2207,2022-05-31 21:39:00.000,71900,71900,71870,71890,72,25877950,139864,2022-05-31 21:39:59.500
SHFE.CU2207,2022-05-31 21:40:00.000,71870,71890,71870,71880,62,22282100,139877,2022-05-31 21:40:59.500
SHFE.CU2207,2022-05-31 21:41:00.000,71880,71880,71840,71860,186,66829150,139897,2022-05-31 21:41:59.500
SHFE.CU2207,2022-05-31 21:42:00.000,71860,71860,71840,71840,111,39874750,139848,2022-05-31 21:42:59.500
SHFE.CU2207,2022-05-31 21:43:00.000,71840,71850,71790,71790,451,161944000,139830,2022-05-31 21:43:59.500
SHFE.CU2207,2022-05-31 21:44:00.000,71790,71790,71730,71770,772,276971250,139635,2022-05-31 21:44:59.000
SHFE.CU2207,2022-05-31 21:45:00.000,71770,71780,71760,71780,170,61004100,139654,2022-05-31 21:45:59.500
SHFE.CU2207,2022-05-31 21:46:00.000,71770,71800,71770,71790,192,68915700,139666,2022-05-31 21:46:59.500
SHFE.CU2207,2022-05-31 21:47:00.000,71780,71840,71770,71820,136,48828350,139685,2022-05-31 21:47:59.500
SHFE.CU2207,2022-05-31 21:48:00.000,71810,71830,71810,71810,88,31599350,139704,2022-05-31 21:48:55.500
SHFE.CU2207,2022-05-31 21:49:00.000,71800,71820,71800,71810,57,20465600,139689,2022-05-31 21:49:55.000
SHFE.CU2207,2022-05-31 21:50:00.000,71800,71860,71800,71840,68,24424100,139680,2022-05-31 21:50:59.500
SHFE.CU2207,2022-05-31 21:51:00.000,71860,71860,71830,71840,57,20477100,139660,2022-05-31 21:51:58.500
SHFE.CU2207,2022-05-31 21:52:00.000,71820,71850,71820,71840,35,12571150,139664,2022-05-31 21:52:54.500
SHFE.CU2207,2022-05-31 21:53:00.000,71830,71830,71810,71810,104,37344850,139636,2022-05-31 21:53:59.500
SHFE.CU2207,2022-05-31 21:54:00.000,71810,71860,71810,71850,92,33048950,139640,2022-05-31 21:54:59.000
SHFE.CU2207,2022-05-31 21:55:00.000,71850,71850,71830,71840,69,24787000,139632,2022-05-31 21:55:56.000
SHFE.CU2207,2022-05-31 21:56:00.000,71840,71840,71830,71830,15,5387600,139635,2022-05-31 21:56:59.500
SHFE.CU2207,2022-05-31 21:57:00.000,71840,71860,71840,71840,74,26583400,139624,2022-05-31 21:57:56.500
SHFE.CU2207,2022-05-31 21:58:00.000,71850,71860,71840,71840,33,11854550,139608,2022-05-31 21:58:54.000
SHFE.CU2207,2022-05-31 21:59:00.000,71840,71840,71820,71820,45,16161650,139611,2022-05-31 21:59:59.000
SHFE.CU2207,2022-05-31 22:00:00.000,71820,71840,71810,71820,115,41297050,139663,2022-05-31 22:00:59.500
SHFE.CU2207,2022-05-31 22:01:00.000,71820,71820,71800,71810,59,21184950,139663,2022-05-31 22:01:59.500
SHFE.CU2207,2022-05-31 22:02:00.000,71800,71820,71790,71820,68,24413650,139671,2022-05-31 22:02:58.000
SHFE.CU2207,2022-05-31 22:03:00.000,71810,71810,71800,71800,17,6103550,139674,2022-05-31 22:03:55.500
SHFE.CU2207,2022-05-31 22:04:00.000,71800,71800,71760,71770,102,36605550,139646,2022-05-31 22:04:58.000
SHFE.CU2207,2022-05-31 22:05:00.000,71770,71780,71750,71760,155,55619200,139644,2022-05-31 22:05:59.000
SHFE.CU2207,2022-05-31 22:06:00.000,71760,71780,71750,71780,72,25835650,139639,2022-05-31 22:06:59.000
SHFE.CU2207,2022-05-31 22:07:00.000,71780,71820,71780,71820,61,21901350,139641,2022-05-31 22:07:58.500
SHFE.CU2207,2022-05-31 22:08:00.000,71820,71830,71790,71790,33,11849400,139639,2022-05-31 22:08:59.000
SHFE.CU2207,2022-05-31 22:09:00.000,71790,71820,71750,71760,179,64241550,139720,2022-05-31 22:09:59.500
SHFE.CU2207,2022-05-31 22:10:00.000,71760,71790,71750,71770,112,40188650,139702,2022-05-31 22:10:59.500
SHFE.CU2207,2022-05-31 22:11:00.000,71780,71780,71740,71760,114,40900150,139716,2022-05-31 22:11:58.500
SHFE.CU2207,2022-05-31 22:12:00.000,71760,71780,71750,71760,191,68533850,139754,2022-05-31 22:12:59.000
SHFE.CU2207,2022-05-31 22:13:00.000,71760,71770,71750,71770,46,16506250,139757,2022-05-31 22:13:57.000
SHFE.CU2207,2022-05-31 22:14:00.000,71780,71810,71770,71810,39,13998300,139758,2022-05-31 22:14:57.500
SHFE.CU2207,2022-05-31 22:15:00.000,71810,71820,71800,71820,30,10771600,139753,2022-05-31 22:15:58.000
SHFE.CU2207,2022-05-31 22:16:00.000,71810,71820,71790,71790,39,14002500,139748,2022-05-31 22:16:58.500
SHFE.CU2207,2022-05-31 22:17:00.000,71800,71820,71780,71780,44,15796950,139731,2022-05-31 22:17:59.500
SHFE.CU2207,2022-05-31 22:18:00.000,71790,71810,71780,71800,43,15437050,139733,2022-05-31 22:18:58.500
SHFE.CU2207,2022-05-31 22:19:00.000,71790,71800,71780,71790,36,12922050,139733,2022-05-31 22:19:59.500
SHFE.CU2207,2022-05-31 22:20:00.000,71790,71840,71790,71840,116,41658450,139722,2022-05-31 22:20:59.500
SHFE.CU2207,2022-05-31 22:21:00.000,71830,71850,71810,71840,86,30888150,139690,2022-05-31 22:21:59.500
SHFE.CU2207,2022-05-31 22:22:00.000,71850,71850,71820,71820,19,6824150,139683,2022-05-31 22:22:59.500
SHFE.CU2207,2022-05-31 22:23:00.000,71830,71840,71800,71800,42,15080200,139675,2022-05-31 22:23:56.500
SHFE.CU2207,2022-05-31 22:24:00.000,71800,71830,71790,71820,95,34110750,139657,2022-05-31 22:24:58.500
SHFE.CU2207,2022-05-31 22:25:00.000,71810,71810,71780,71780,47,16870600,139661,2022-05-31 22:25:59.500
SHFE.CU2207,2022-05-31 22:26:00.000,71780,71800,71760,71800,64,22967350,139676,2022-05-31 22:26:56.500
SHFE.CU2207,2022-05-31 22:27:00.000,71810,71820,71810,71810,30,10771850,139688,2022-05-31 22:27:52.500
SHFE.CU2207,2022-05-31 22:28:00.000,71820,71840,71820,71830,42,15084650,139672,2022-05-31 22:28:52.000
SHFE.CU2207,2022-05-31 22:29:00.000,71830,71830,71800,71810,29,10413850,139671,2022-05-31 22:29:59.000
SHFE.CU2207,2022-05-31 22:30:00.000,71800,71830,71790,71830,51,18310500,139659,2022-05-31 22:30:58.500
SHFE.CU2207,2022-05-31 22:31:00.000,71820,71830,71820,71830,26,9337500,139660,2022-05-31 22:31:59.500
SHFE.CU2207,2022-05-31 22:32:00.000,71840,71840,71810,71820,38,13647650,139660,2022-05-31 22:32:53.000
SHFE.CU2207,2022-05-31 22:33:00.000,71820,71820,71790,71800,87,31235750,139649,2022-05-31 22:33:56.500
SHFE.CU2207,2022-05-31 22:34:00.000,71800,71820,71790,71820,18,6462250,139644,2022-05-31 22:34:59.500
SHFE.CU2207,2022-05-31 22:35:00.000,71830,71840,71820,71820,64,22984200,139627,2022-05-31 22:35:56.000
SHFE.CU2207,2022-05-31 22:36:00.000,71820,71830,71820,71820,35,12568950,139619,2022-05-31 22:36:59.500
SHFE.CU2207,2022-05-31 22:37:00.000,71820,71820,71790,71790,90,32310350,139604,2022-05-31 22:37:58.500
SHFE.CU2207,2022-05-31 22:38:00.000,71800,71810,71800,71810,38,13642950,139594,2022-05-31 22:38:59.500
SHFE.CU2207,2022-05-31 22:39:00.000,71810,71810,71800,71800,23,8257550,139584,2022-05-31 22:39:58.000
SHFE.CU2207,2022-05-31 22:40:00.000,71790,71800,71780,71790,77,27638250,139572,2022-05-31 22:40:57.000
SHFE.CU2207,2022-05-31 22:41:00.000,71790,71800,71770,71780,31,11126900,139569,2022-05-31 22:41:59.500
SHFE.CU2207,2022-05-31 22:42:00.000,71760,71780,71730,71740,226,81078050,139528,2022-05-31 22:42:59.500
SHFE.CU2207,2022-05-31 22:43:00.000,71740,71770,71730,71750,110,39461300,139536,2022-05-31 22:43:58.000
SHFE.CU2207,2022-05-31 22:44:00.000,71750,71760,71740,71750,110,39461750,139534,2022-05-31 22:44:59.500
SHFE.CU2207,2022-05-31 22:45:00.000,71750,71760,71720,71740,262,93969950,139525,2022-05-31 22:45:58.500
SHFE.CU2207,2022-05-31 22:46:00.000,71730,71740,71720,71740,197,70657150,139487,2022-05-31 22:46:59.500
SHFE.CU2207,2022-05-31 22:47:00.000,71740,71750,71730,71750,99,35511550,139468,2022-05-31 22:47:59.500
SHFE.CU2207,2022-05-31 22:48:00.000,71740,71750,71720,71730,54,19368000,139470,2022-05-31 22:48:57.000
SHFE.CU2207,2022-05-31 22:49:00.000,71730,71730,71680,71690,549,196814300,139316,2022-05-31 22:49:59.500
SHFE.CU2207,2022-05-31 22:50:00.000,71680,71700,71650,71660,813,291340800,139075,2022-05-31 22:50:59.500
SHFE.CU2207,2022-05-31 22:51:00.000,71650,71680,71650,71650,410,146914300,139144,2022-05-31 22:51:59.500
SHFE.CU2207,2022-05-31 22:52:00.000,71650,71680,71650,71680,254,91019650,139039,2022-05-31 22:52:59.500
SHFE.CU2207,2022-05-31 22:53:00.000,71690,71720,71680,71710,155,55572200,139056,2022-05-31 22:53:56.500
SHFE.CU2207,2022-05-31 22:54:00.000,71710,71710,71700,71700,79,28323050,139042,2022-05-31 22:54:59.000
SHFE.CU2207,2022-05-31 22:55:00.000,71700,71710,71670,71670,265,94993900,138912,2022-05-31 22:55:59.500
SHFE.CU2207,2022-05-31 22:56:00.000,71670,71680,71600,71600,544,194861550,138949,2022-05-31 22:56:59.500
SHFE.CU2207,2022-05-31 22:57:00.000,71600,71660,71600,71650,225,80576850,138957,2022-05-31 22:57:59.500
SHFE.CU2207,2022-05-31 22:58:00.000,71640,71650,71620,71640,101,36176150,138955,2022-05-31 22:58:58.500
SHFE.CU2207,2022-05-31 22:59:00.000,71630,71650,71630,71640,71,25432050,138968,2022-05-31 22:59:56.000
SHFE.CU2207,2022-05-31 23:00:00.000,71630,71680,71610,71670,202,72363700,138919,2022-05-31 23:00:59.500
SHFE.CU2207,2022-05-31 23:01:00.000,71670,71680,71670,71680,69,24729000,138898,2022-05-31 23:01:56.500
SHFE.CU2207,2022-05-31 23:02:00.000,71680,71680,71640,71660,80,28664400,138905,2022-05-31 23:02:56.500
SHFE.CU2207,2022-05-31 23:03:00.000,71650,71670,71640,71650,67,24002500,138909,2022-05-31 23:03:59.500
SHFE.CU2207,2022-05-31 23:04:00.000,71650,71660,71630,71660,67,23999950,138901,2022-05-31 23:04:56.500
SHFE.CU2207,2022-05-31 23:05:00.000,71660,71660,71640,71640,33,11821450,138913,2022-05-31 23:05:59.000
SHFE.CU2207,2022-05-31 23:06:00.000,71640,71660,71630,71650,63,22567850,138903,2022-05-31 23:06:59.500
SHFE.CU2207,2022-05-31 23:07:00.000,71650,71650,71560,71570,477,170768800,138830,2022-05-31 23:07:59.500
SHFE.CU2207,2022-05-31 23:08:00.000,71580,71590,71530,71560,458,163876350,138932,2022-05-31 23:08:59.500
SHFE.CU2207,2022-05-31 23:09:00.000,71560,71560,71500,71510,506,180959200,138837,2022-05-31 23:09:59.500
SHFE.CU2207,2022-05-31 23:10:00.000,71510,71560,71500,71550,358,128031450,138853,2022-05-31 23:10:59.500
SHFE.CU2207,2022-05-31 23:11:00.000,71550,71550,71510,71520,228,81538750,138835,2022-05-31 23:11:59.500
SHFE.CU2207,2022-05-31 23:12:00.000,71520,71540,71500,71540,319,114069200,138797,2022-05-31 23:12:59.500
SHFE.CU2207,2022-05-31 23:13:00.000,71530,71540,71510,71520,146,52212900,138771,2022-05-31 23:13:59.500
SHFE.CU2207,2022-05-31 23:14:00.000,71520,71520,71500,71520,154,55063500,138750,2022-05-31 23:14:59.500
SHFE.CU2207,2022-05-31 23:15:00.000,71510,71560,71500,71540,205,73307500,138659,2022-05-31 23:15:57.500
SHFE.CU2207,2022-05-31 23:16:00.000,71550,71570,71530,71530,78,27905550,138658,2022-05-31 23:16:59.500
SHFE.CU2207,2022-05-31 23:17:00.000,71530,71550,71520,71530,111,39700050,138618,2022-05-31 23:17:59.500
SHFE.CU2207,2022-05-31 23:18:00.000,71520,71530,71510,71530,79,28251000,138620,2022-05-31 23:18:59.500
SHFE.CU2207,2022-05-31 23:19:00.000,71540,71540,71460,71470,370,132257450,138619,2022-05-31 23:19:59.500
SHFE.CU2207,2022-05-31 23:20:00.000,71470,71500,71450,71490,397,141865300,138563,2022-05-31 23:20:58.500
SHFE.CU2207,2022-05-31 23:21:00.000,71480,71510,71470,71510,95,33957900,138575,2022-05-31 23:21:59.000
SHFE.CU2207,2022-05-31 23:22:00.000,71500,71510,71490,71490,90,32174550,138589,2022-05-31 23:22:59.000
SHFE.CU2207,2022-05-31 23:23:00.000,71510,71520,71490,71510,120,42902750,138559,2022-05-31 23:23:58.500
SHFE.CU2207,2022-05-31 23:24:00.000,71500,71500,71460,71480,236,84339950,138501,2022-05-31 23:24:59.500
SHFE.CU2207,2022-05-31 23:25:00.000,71470,71490,71460,71490,89,31806200,138494,2022-05-31 23:25:59.500
SHFE.CU2207,2022-05-31 23:26:00.000,71490,71500,71490,71500,248,88659800,138529,2022-05-31 23:26:59.500
SHFE.CU2207,2022-05-31 23:27:00.000,71500,71520,71480,71510,114,40754400,138511,2022-05-31 23:27:59.000
SHFE.CU2207,2022-05-31 23:28:00.000,71510,71530,71500,71520,69,24674350,138487,2022-05-31 23:28:57.500
SHFE.CU2207,2022-05-31 23:29:00.000,71510,71510,71490,71500,54,19306300,138472,2022-05-31 23:29:59.500
SHFE.CU2207,2022-05-31 23:30:00.000,71500,71520,71470,71510,121,43254950,138482,2022-05-31 23:30:59.500
SHFE.CU2207,2022-05-31 23:31:00.000,71510,71510,71510,71510,43,15374650,138476,2022-05-31 23:31:59.500
SHFE.CU2207,2022-05-31 23:32:00.000,71520,71540,71520,71520,84,30040500,138446,2022-05-31 23:32:59.500
SHFE.CU2207,2022-05-31 23:33:00.000,71510,71530,71490,71500,78,27887200,138447,2022-05-31 23:33:58.000
